Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,LayAOAV,ProbH,ProbD,ProbA,TotalProb,NormProbH,NormProbD,NormProbA,Margin,SpreadHA,RatioHA,LogOddsH,LogOddsD,LogOddsA
2024-09-14,2024,Aston Villa,Everton,3,2,H,1.5,4.2,6.5,1,0.6666666666666666,0.23809523809523808,0.15384615384615385,1.0586080586080584,0.6297577854671281,0.2249134948096886,0.14532871972318342,5.86080586080584,-5.0,0.23076919526627765,0.4054651081081644,1.4350845252893227,1.8718021769015913
2024-09-14,2024,Bournemouth,Chelsea,0,1,A,3.4,3.8,2.0,1,0.29411764705882354,0.2631578947368421,0.5,1.0572755417956656,0.2781844802342606,0.24890190336749632,0.47291361639824303,5.727554179566563,1.4,1.6999991500004248,1.2237754316221157,1.33500106673234,0.6931471805599453
2024-09-15,2024,Tottenham,Arsenal,0,1,A,3.0,3.5,2.3,1,0.3333333333333333,0.2857142857142857,0.4347826086956522,1.0538302277432714,0.3163064833005893,0.2711198428290766,0.41257367387033395,5.38302277432714,0.7000000000000002,1.3043472589794527,1.0986122886681098,1.252762968495368,0.8329091229351039
2024-09-15,2024,Wolves,Newcastle,1,2,A,3.4,3.5,2.1,1,0.29411764705882354,0.2857142857142857,0.47619047619047616,1.0560224089635852,0.2785145888594165,0.27055702917771884,0.4509283819628648,5.6022408963585235,1.2999999999999998,1.6190468480729292,1.2237754316221157,1.252762968495368,0.7419373447293773
2024-09-21,2024,West Ham,Chelsea,0,3,A,3.6,3.9,1.95,1,0.2777777777777778,0.25641025641025644,0.5128205128205129,1.0470085470085473,0.26530612244897955,0.24489795918367344,0.48979591836734687,4.700854700854729,1.6500000000000001,1.8461528994087697,1.2809338454620642,1.3609765531356006,0.6678293725756554
2024-09-21,2024,Aston Villa,Wolves,3,1,H,1.57,4.2,5.25,1,0.6369426751592356,0.23809523809523808,0.19047619047619047,1.0655141037306641,0.5977796754910334,0.22345573583831485,0.17876458867065187,6.551410373066413,-3.6799999999999997,0.29904756208617866,0.45107561936021673,1.4350845252893227,1.6582280766035324
2024-09-21,2024,Fulham,Newcastle,3,1,H,3.0,3.4,2.4,1,0.3333333333333333,0.29411764705882354,0.4166666666666667,1.0441176470588236,0.31924882629107976,0.28169014084507044,0.39906103286384975,4.4117647058823595,0.6000000000000001,1.2499994791668836,1.0986122886681098,1.2237754316221157,0.8754687373538999
2024-09-21,2024,Leicester,Everton,1,1,D,2.45,3.4,2.88,1,0.4081632653061224,0.29411764705882354,0.3472222222222222,1.0495031345871682,0.38891095400746684,0.2802446580347923,0.3308443879577409,4.950313458716815,-0.4299999999999997,0.8506941490645317,0.8960880245566357,1.2237754316221157,1.0577902941478545
2024-09-21,2024,Liverpool,Bournemouth,3,0,H,1.3,6.25,9.0,1,0.7692307692307692,0.16,0.1111111111111111,1.0403418803418802,0.7394019060138022,0.15379559645087088,0.10680249753532699,4.034188034188024,-7.7,0.14444442839506352,0.26236426446749106,1.8325814637483102,2.1972245773362196
2024-09-21,2024,Southampton,Ipswich,1,1,D,2.25,3.5,3.2,1,0.4444444444444444,0.2857142857142857,0.3125,1.0426587301587302,0.42626070409134154,0.27402473834443386,0.29971455756422455,4.265873015873023,-0.9500000000000002,0.7031247802735061,0.8109302162163288,1.252762968495368,1.1631508098056809
2024-09-21,2024,Tottenham,Brentford,3,1,H,1.55,4.5,5.5,1,0.6451612903225806,0.2222222222222222,0.18181818181818182,1.0492016943629847,0.6149068322981366,0.21180124223602484,0.17329192546583852,4.920169436298472,-3.95,0.28181813057852173,0.4382549309311553,1.5040773967762742,1.7047480922384253
2024-09-21,2024,Crystal Palace,Man United,0,0,D,2.88,3.75,2.3,1,0.3472222222222222,0.26666666666666666,0.4347826086956522,1.0486714975845413,0.3311067603362892,0.2542899919382701,0.4146032477254405,4.867149758454126,0.5800000000000001,1.2521733686202745,1.0577902941478545,1.3217558399823195,0.8329091229351039
2024-09-22,2024,Brighton,Nott'm Forest,2,2,D,1.75,3.75,4.75,1,0.5714285714285714,0.26666666666666666,0.21052631578947367,1.0486215538847117,0.5449330783938815,0.25430210325047803,0.20076481835564056,4.862155388471168,-3.0,0.3684209750692684,0.5596157879354227,1.3217558399823195,1.55814461804655
2024-09-22,2024,Man City,Arsenal,2,2,D,1.8,3.6,4.5,1,0.5555555555555556,0.2777777777777778,0.2222222222222222,1.0555555555555556,0.5263157894736842,0.2631578947368421,0.21052631578947367,5.555555555555558,-2.7,0.39999991111113087,0.5877866649021191,1.2809338454620642,1.5040773967762742
2024-09-28,2024,Newcastle,Man City,1,1,D,5.25,4.33,1.6,1,0.19047619047619047,0.23094688221709006,0.625,1.0464230726932806,0.18202598494502173,0.22070125195412565,0.5972727631008525,4.642307269328061,3.65,3.281247949220032,1.6582280766035324,1.4655675420143985,0.47000362924573563
2024-09-28,2024,Arsenal,Leicester,4,2,H,1.17,8.0,15.0,1,0.8547008547008548,0.125,0.06666666666666667,1.0463675213675214,0.8168266285480907,0.11946089442515825,0.06371247702675106,4.6367521367521425,-13.83,0.07799999480000035,0.1570037488096647,2.0794415416798357,2.70805020110221
2024-09-28,2024,Brentford,West Ham,1,1,D,2.2,3.5,3.2,1,0.45454545454545453,0.2857142857142857,0.3125,1.0527597402597402,0.4317656129529684,0.27139552814186585,0.2968388589051658,5.275974025974017,-1.0,0.6874997851563172,0.7884573603642703,1.252762968495368,1.1631508098056809
2024-09-28,2024,Chelsea,Brighton,4,2,H,1.73,4.2,4.2,1,0.5780346820809249,0.23809523809523808,0.23809523809523808,1.054225158271401,0.5483028720626633,0.2258485639686684,0.2258485639686684,5.422515827140106,-2.47,0.41190466383222285,0.5481214085096876,1.4350845252893227,1.4350845252893227
2024-09-28,2024,Everton,Crystal Palace,2,1,H,2.7,3.3,2.63,1,0.37037037037037035,0.30303030303030304,0.3802281368821293,1.0536288102828029,0.3515188335358444,0.28760631834750905,0.3608748481166464,5.362881028280286,0.07000000000000028,1.02661557923362,0.9932517730102834,1.1939224684724346,0.9669838461896731
2024-09-28,2024,Nott'm Forest,Fulham,0,1,A,2.38,3.3,3.0,1,0.42016806722689076,0.30303030303030304,0.3333333333333333,1.056531703590527,0.39768618944323936,0.28681610026512416,0.31549771029163654,5.653170359052706,-0.6200000000000001,0.7933330688889769,0.8671004876833833,1.1939224684724346,1.0986122886681098
2024-09-28,2024,Wolves,Liverpool,1,2,A,8.0,5.75,1.33,1,0.125,0.17391304347826086,0.7518796992481203,1.0507927427263812,0.11895780672759089,0.16550651370795255,0.7155356795644564,5.0792742726381235,6.67,6.015033071403706,2.0794415416798357,1.749199854809259,0.28517894223366247
2024-09-29,2024,Ipswich,Aston Villa,2,2,D,4.0,3.75,1.85,1,0.25,0.26666666666666666,0.5405405405405405,1.057207207207207,0.23647209203238181,0.2522368981678739,0.5112910097997444,5.720720720720696,2.15,2.16216099342649,1.3862943611198906,1.3217558399823195,0.6151856390902335
2024-09-29,2024,Man United,Tottenham,0,3,A,2.35,3.75,2.75,1,0.425531914893617,0.26666666666666666,0.36363636363636365,1.0558349451966473,0.40302882266731804,0.2525647288715193,0.3444064484611627,5.583494519664733,-0.3999999999999999,0.8545451438017658,0.8544153281560676,1.3217558399823195,1.0116009116784799
2024-09-30,2024,Bournemouth,Southampton,3,1,H,1.65,4.1,5.0,1,0.6060606060606061,0.24390243902439027,0.2,1.0499630450849964,0.5772208925805997,0.23229621286780233,0.19048289455159792,4.996304508499638,-3.35,0.32999993400001315,0.5007752879124892,1.410986973710262,1.6094379124341003
2024-10-05,2024,Crystal Palace,Liverpool,0,1,A,6.0,4.5,1.5,1,0.16666666666666666,0.2222222222222222,0.6666666666666666,1.0555555555555554,0.15789473684210528,0.2105263157894737,0.6315789473684211,5.555555555555536,4.5,3.9999973333351115,1.791759469228055,1.5040773967762742,0.4054651081081644
2024-10-05,2024,Arsenal,Southampton,3,1,H,1.14,9.0,17.0,1,0.8771929824561404,0.1111111111111111,0.058823529411764705,1.0471276229790163,0.8377135348226018,0.10611038107752954,0.05617608409986859,4.712762297901629,-15.86,0.0670588195847753,0.131028262406404,2.1972245773362196,2.833213344056216
2024-10-05,2024,Brentford,Wolves,5,3,H,2.05,3.6,3.4,1,0.48780487804878053,0.2777777777777778,0.29411764705882354,1.059700302885382,0.4603234298608499,0.26212861978187285,0.27754795035727714,5.970030288538197,-1.35,0.6029409991350002,0.7178397931503168,1.2809338454620642,1.2237754316221157
2024-10-05,2024,Leicester,Bournemouth,1,0,H,3.1,3.75,2.15,1,0.3225806451612903,0.26666666666666666,0.46511627906976744,1.0543635908977245,0.3059482022578503,0.25291718053315626,0.44113461720899344,5.436359089772447,0.9500000000000002,1.4418597944838165,1.1314021114911006,1.3217558399823195,0.7654678421395714
2024-10-05,2024,Man City,Fulham,3,2,H,1.25,7.0,9.5,1,0.8,0.14285714285714285,0.10526315789473684,1.0481203007518798,0.763271162123386,0.13629842180774748,0.10043041606886656,4.8120300751879785,-8.25,0.131578933518007,0.22314355131420976,1.9459101490553132,2.2512917986064953
2024-10-05,2024,West Ham,Ipswich,4,1,H,1.8,3.8,4.33,1,0.5555555555555556,0.2631578947368421,0.23094688221709006,1.0496603325094878,0.5292717447246527,0.2507076685537828,0.22002058672156458,4.966033250948776,-2.5300000000000002,0.41570429198515196,0.5877866649021191,1.33500106673234,1.4655675420143985
2024-10-05,2024,Everton,Newcastle,0,0,D,3.2,3.6,2.2,1,0.3125,0.2777777777777778,0.45454545454545453,1.0448232323232323,0.2990936555891239,0.26586102719033233,0.4350453172205438,4.4823232323232265,1.0,1.45454479338873,1.1631508098056809,1.2809338454620642,0.7884573603642703
2024-10-06,2024,Aston Villa,Man United,0,0,D,2.2,3.75,3.0,1,0.45454545454545453,0.26666666666666666,0.3333333333333333,1.0545454545454545,0.4310344827586207,0.25287356321839083,0.3160919540229885,5.454545454545445,-0.7999999999999998,0.7333330888889704,0.7884573603642703,1.3217558399823195,1.0986122886681098
2024-10-06,2024,Chelsea,Nott'm Forest,1,1,D,1.48,4.5,6.5,1,0.6756756756756757,0.2222222222222222,0.15384615384615385,1.0517440517440517,0.6424335602899187,0.21128925982868438,0.14627717988139688,5.174405174405172,-5.02,0.22769227266272726,0.3920420877760237,1.5040773967762742,1.8718021769015913
2024-10-06,2024,Brighton,Tottenham,3,2,H,2.9,4.0,2.2,1,0.3448275862068966,0.25,0.45454545454545453,1.0493730407523512,0.3286034353995519,0.23823749066467512,0.4331590739357729,4.937304075235116,0.6999999999999997,1.3181812190085367,1.0647107369924282,1.3862943611198906,0.7884573603642703
2024-10-19,2024,Tottenham,West Ham,4,1,H,1.5,5.0,5.25,1,0.6666666666666666,0.2,0.19047619047619047,1.0571428571428572,0.6306306306306306,0.1891891891891892,0.18018018018018017,5.714285714285716,-3.75,0.2857142312925274,0.4054651081081644,1.6094379124341003,1.6582280766035324
2024-10-19,2024,Fulham,Aston Villa,1,3,A,2.45,3.5,2.8,1,0.4081632653061224,0.2857142857142857,0.35714285714285715,1.0510204081632653,0.3883495145631068,0.27184466019417475,0.33980582524271846,5.102040816326525,-0.34999999999999964,0.8749996875001117,0.8960880245566357,1.252762968495368,1.0296194171811581
2024-10-19,2024,Ipswich,Everton,0,2,A,2.38,3.3,3.0,1,0.42016806722689076,0.30303030303030304,0.3333333333333333,1.056531703590527,0.39768618944323936,0.28681610026512416,0.31549771029163654,5.653170359052706,-0.6200000000000001,0.7933330688889769,0.8671004876833833,1.1939224684724346,1.0986122886681098
2024-10-19,2024,Man United,Brentford,2,1,H,1.7,4.2,4.5,1,0.5882352941176471,0.23809523809523808,0.2222222222222222,1.0485527544351072,0.5609973285841497,0.2270703472840606,0.21193232413178986,4.85527544351072,-2.8,0.37777769382717913,0.5306282510621704,1.4350845252893227,1.5040773967762742
2024-10-19,2024,Newcastle,Brighton,0,1,A,1.95,3.7,3.6,1,0.5128205128205129,0.27027027027027023,0.2777777777777778,1.060868560868561,0.48339684267827976,0.2547632008709852,0.2618399564507349,6.086856086856107,-1.6500000000000001,0.5416665162037455,0.6678293725756554,1.308332819650179,1.2809338454620642
2024-10-19,2024,Southampton,Leicester,2,3,A,2.3,3.5,3.0,1,0.4347826086956522,0.2857142857142857,0.3333333333333333,1.0538302277432712,0.41257367387033406,0.27111984282907664,0.3163064833005894,5.3830227743271175,-0.7000000000000002,0.7666664111111962,0.8329091229351039,1.252762968495368,1.0986122886681098
